[0] 27:52.540
[1] 28:20.830
[2] 28:35.675
[3] 28:36.755
[4] 28:41.970
[5] 28:43.260
[6] 28:45.875
[7] 28:47.855
[8] 28:48.410
[9] 28:52.550
[10] 28:53.630
[11] 28:54.230
[12] 28:55.630
[13] 28:59.540
[14] 28:59.845
[15] 29:02.900
[16] 29:04.695
[17] 29:06.605
[18] 29:07.975
[19] 29:09.990
[20] 29:11.040
[21] 29:11.350
[22] 29:11.430
[23] 29:12.805
[24] 29:13.440
[25] 29:15.135
[26] 29:16.910
[27] 29:17.790
[28] 29:20.105
[29] 29:21.320
[30] 29:22.590
[31] 29:23.130
[32] 29:24.795
[33] 29:25.475
[34] 29:26.060
[35] 29:27.405
[36] 29:28.810
[37] 29:29.440
[38] 29:31.235
[39] 29:32.575
[40] 29:33.280
[41] 29:33.635
[42] 29:34.240
[43] 29:34.795
[44] 29:34.960
[45] 29:35.580
[46] 29:37.330
[47] 29:39.380
[48] 29:39.610
[49] 29:40.035
[50] 29:40.210
[51] 29:42.020
[52] 29:43.265
[53] 29:43.815
[54] 29:44.775
[55] 29:47.335
[56] 29:47.655
[57] 29:49.380
[58] 29:50.630
[59] 29:52.015
[60] 29:52.440
[61] 29:52.735
[62] 29:52.855
[63] 29:53.310
[64] 29:53.810
[65] 29:54.425
[66] 29:55.610
[67] 29:55.945
[68] 29:56.035
[69] 29:56.820
[70] 29:57.490
[71] 29:59.925
[72] 30:01.210
[73] 30:01.935
[74] 30:02.875
[75] 30:04.335
[76] 30:05.195
[77] 30:05.785
[78] 30:05.945
[79] 30:09.155
[80] 30:09.540
[81] 30:10.140
[82] 30:11.480
[83] 30:11.615
[84] 30:16.295
[85] 30:16.410
[86] 30:17.280
[87] 30:18.935
[88] 30:19.255
[89] 30:19.430
[90] 30:21.635
[91] 30:23.445
[92] 30:24.540
[93] 30:25.670
[94] 30:25.935
