[0] 03:37.255
[1] 03:38.500
[2] 03:39.505
[3] 03:40.035
[4] 03:40.455
[5] 03:40.540
[6] 03:40.735
[7] 03:41.280
[8] 03:41.380
[9] 03:41.625
[10] 03:41.695
[11] 03:41.890
[12] 03:41.910
[13] 03:42
[14] 03:42.100
[15] 03:42.185
[16] 03:42.250
[17] 03:42.395
[18] 03:42.581
[19] 03:42.700
[20] 03:42.736
[21] 03:42.790
[22] 03:42.815
[23] 03:43.140
[24] 03:43.220
[25] 03:43.370
[26] 03:43.475
[27] 03:43.536
[28] 03:43.555
[29] 03:43.675
[30] 03:43.960
[31] 03:44.055
[32] 03:44.171
[33] 03:44.190
[34] 03:44.310
[35] 03:44.365
[36] 03:44.410
[37] 03:44.460
[38] 03:44.555
[39] 03:44.600
[40] 03:44.761
[41] 03:44.785
[42] 03:44.815
[43] 03:44.900
[44] 03:44.935
[45] 03:44.956
[46] 03:45.020
[47] 03:45.201
[48] 03:45.265
[49] 03:45.285
[50] 03:45.335
[51] 03:45.405
[52] 03:45.460
[53] 03:45.470
[54] 03:45.585
[55] 03:45.605
[56] 03:45.630
[57] 03:45.655
[58] 03:45.700
[59] 03:45.715
[60] 03:45.910
[61] 03:45.925
[62] 03:46.030
[63] 03:46.055
[64] 03:46.150
[65] 03:46.195
[66] 03:46.265
[67] 03:46.291
[68] 03:46.351
[69] 03:46.400
[70] 03:46.470
[71] 03:46.505
[72] 03:46.520
[73] 03:46.620
[74] 03:46.685
[75] 03:46.730
[76] 03:46.755
[77] 03:46.825
[78] 03:46.855
[79] 03:46.861
[80] 03:46.870
[81] 03:46.920
[82] 03:46.955
[83] 03:46.965
[84] 03:47.015
[85] 03:47.035
[86] 03:47.045
[87] 03:47.080
[88] 03:47.145
[89] 03:47.165
[90] 03:47.285
[91] 03:47.340
[92] 03:47.375
[93] 03:47.395
[94] 03:47.500
