03:01.190	03:02.190	03:00.380	03:00.720	03:01.370
03:02.640	03:03.470	03:01.830	03:00.740	03:02.555
03:02.670	03:05.260	03:02.180	03:03.110	03:03.075
03:03.890	03:05.280	03:02.960	03:03.280	03:03.590
03:04.240	03:05.400	03:03.070	03:03.780	03:04.185
03:04.390	03:05.630	03:03.250	03:03.830	03:04.435
03:05.060	03:05.840	03:03.340	03:03.900	03:04.865
03:05.130	03:06.350	03:03.420	03:04.380	03:05.200
03:05.200	03:06.510	03:03.740	03:04.600	03:05.245
03:05.760	03:06.670	03:04.240	03:04.630	03:05.765
03:05.810	03:06.870	03:04.240	03:04.980	03:05.980
03:05.860	03:06.920	03:04.460	03:05.160	03:06.135
03:06.120	03:07.030	03:04.590	03:05.400	03:06.275
03:06.120	03:07.080	03:04.750	03:05.590	03:06.285
03:06.240	03:07.410	03:04.780	03:05.720	03:06.365
03:06.510	03:07.750	03:04.990	03:05.810	03:06.505
03:06.570	03:07.820	03:05.180	03:05.970	03:06.765
03:06.600	03:07.840	03:05.230	03:06.000	03:06.840
03:06.680	03:07.880	03:05.380	03:06.180	03:06.965
03:06.940	03:08.000	03:05.480	03:06.180	03:07.125
03:07.020	03:08.120	03:05.510	03:06.280	03:07.255
03:07.120	03:08.210	03:05.590	03:06.350	03:07.320
03:07.190	03:08.220	03:05.720	03:06.360	03:07.445
03:07.210	03:08.230	03:05.730	03:06.490	03:07.545
03:07.460	03:08.260	03:05.750	03:06.550	03:07.885
03:07.480	03:08.420	03:05.780	03:06.690	03:07.965
03:07.800	03:08.460	03:06.030	03:07.000	03:08.125
03:07.800	03:08.510	03:06.040	03:07.210	03:08.145
03:08.270	03:08.550	03:06.060	03:07.300	03:08.235
03:08.270	03:08.610	03:06.090	03:07.380	03:08.305
03:08.390	03:08.640	03:06.170	03:07.650	03:08.420
03:08.390	03:08.670	03:06.180	03:07.690	03:08.530
03:08.420	03:08.760	03:06.220	03:08.130	03:08.700
