[0] 13:24.485
[1] 13:27.690
[2] 13:30.075
[3] 13:33.130
[4] 13:34.485
[5] 13:35.475
[6] 13:36.395
[7] 13:37.450
[8] 13:40.170
[9] 13:41.450
[10] 13:42.125
[11] 13:44.905
[12] 13:45.390
[13] 13:45.955
[14] 13:45.985
[15] 13:46.440
[16] 13:47.465
[17] 13:48.560
[18] 13:49.200
[19] 13:49.515
[20] 13:49.780
[21] 13:50.015
[22] 13:50.685
[23] 13:50.925
[24] 13:51.970
[25] 13:52.075
[26] 13:52.540
[27] 13:52.825
[28] 13:53.975
[29] 13:54.495
[30] 13:55.005
[31] 13:55.445
[32] 13:56.035
[33] 13:56.225
[34] 13:56.740
[35] 13:56.875
[36] 13:56.960
[37] 13:57.285
[38] 13:57.430
[39] 13:57.535
[40] 13:57.715
[41] 13:58.595
[42] 13:59
[43] 13:59.125
[44] 13:59.225
[45] 13:59.455
[46] 13:59.900
[47] 14:00.200
[48] 14:01.150
[49] 14:02.205
[50] 14:02.260
[51] 14:02.420
[52] 14:02.530
[53] 14:02.665
[54] 14:03.165
[55] 14:03.415
[56] 14:03.640
[57] 14:03.960
[58] 14:04.325
[59] 14:04.620
[60] 14:04.800
[61] 14:05.350
[62] 14:06.615
[63] 14:06.735
[64] 14:07.255
[65] 14:07.495
[66] 14:07.775
[67] 14:08.015
[68] 14:08.210
[69] 14:08.395
[70] 14:08.570
[71] 14:09.135
[72] 14:09.525
[73] 14:09.595
[74] 14:10.150
[75] 14:10.850
[76] 14:11.635
[77] 14:12.025
[78] 14:12.130
[79] 14:12.690
[80] 14:13.095
[81] 14:13.195
[82] 14:13.475
[83] 14:13.655
[84] 14:14.730
[85] 14:15.135
[86] 14:15.545
[87] 14:15.640
[88] 14:16.100
[89] 14:16.360
[90] 14:16.585
[91] 14:16.710
[92] 14:16.810
[93] 14:17.455
[94] 14:17.605
