08:30.540	08:23.930	08:28.770	08:39.300	08:34.960
08:37.540	08:36.980	08:33.090	08:39.830	08:37.540
08:40.120	08:39.700	08:34.230	08:40.540	08:40.175
08:43.240	08:41.440	08:34.460	08:43.050	08:41.585
08:45.950	08:43.770	08:38.590	08:44.860	08:43.780
08:47.320	08:45.710	08:39.100	08:45.550	08:45.965
08:47.560	08:45.910	08:39.260	08:47.180	08:46.950
08:49.090	08:46.350	08:39.580	08:48.220	08:47.445
08:50.350	08:46.480	08:39.820	08:48.240	08:47.935
08:50.450	08:46.490	08:40.030	08:48.880	08:48.565
08:50.490	08:46.530	08:40.430	08:48.920	08:49.060
08:50.790	08:48.570	08:40.730	08:49.440	08:49.590
08:51.050	08:48.680	08:40.770	08:49.480	08:49.735
08:51.620	08:48.910	08:40.880	08:49.700	08:50.150
08:51.740	08:48.930	08:41.240	08:49.710	08:50.250
08:51.960	08:49.650	08:41.470	08:50.610	08:50.730
08:52.380	08:50.130	08:41.940	08:50.870	08:51.410
08:53.130	08:50.740	08:43.000	08:51.400	08:51.745
08:53.700	08:50.960	08:43.060	08:51.780	08:52.085
08:53.750	08:51.240	08:43.190	08:52.440	08:52.530
08:53.860	08:51.470	08:43.640	08:52.680	08:52.740
08:54.120	08:51.690	08:44.470	08:53.150	08:53.580
08:54.410	08:52.150	08:44.880	08:53.350	08:54.270
08:55.910	08:52.410	08:45.430	08:53.510	08:54.720
08:55.970	08:52.450	08:45.820	08:53.680	08:55.035
08:56.050	08:53.580	08:46.260	08:54.040	08:55.190
08:56.590	08:53.910	08:46.470	08:54.290	08:55.470
08:56.610	08:53.940	08:46.690	08:54.370	08:55.675
08:57.200	08:55.090	08:46.950	08:55.290	08:56.155
08:57.310	08:55.200	08:47.560	08:55.500	08:56.405
08:57.330	08:55.850	08:47.760	08:56.540	08:56.935
08:57.400	08:55.920	08:47.810	08:56.780	08:57.090
08:57.660	08:56.120	08:48.030	08:57.060	08:57.360
08:57.940	08:56.160	08:48.070	08:57.340	08:57.640
08:58.140	08:56.170	08:48.480	08:57.350	08:57.745
08:59.130	08:56.230	08:48.800	08:57.700	08:58.035
08:59.180	08:56.310	08:49.280	08:57.770	08:58.215
08:59.290	08:56.570	08:49.930	08:57.840	08:58.295
08:59.290	08:56.810	08:50.040	08:57.890	08:58.420
08:59.860	08:57.130	08:50.370	08:57.890	08:58.430
08:59.930	08:57.720	08:50.380	08:58.160	08:58.590
08:59.940	08:57.980	08:50.400	08:58.790	08:58.930
08:59.990	08:58.160	08:50.560	08:58.900	08:59.185
09:00.060	08:58.530	08:50.610	08:59.000	08:59.335
09:00.120	08:58.610	08:51.040	08:59.220	08:59.570
09:00.160	08:59.600	08:51.590	08:59.830	09:00.010
09:01.370	08:59.690	08:51.630	08:59.850	09:01.030
09:01.750	08:59.770	08:51.940	08:59.860	09:01.340
09:01.830	08:59.960	08:52.110	09:00.510	09:01.450
09:02.070	09:00.020	08:52.130	09:01.450	09:01.730
09:02.130	09:00.140	08:52.280	09:02.630	09:02.080
09:02.190	09:00.190	08:52.360	09:03.510	09:02.125
09:02.270	09:00.460	08:52.500	09:03.700	09:02.220
09:02.370	09:00.730	08:52.680	09:03.780	09:02.285
09:02.560	09:01.940	08:52.770	09:03.790	09:02.670
09:02.620	09:02.190	08:52.860	09:04.470	09:02.840
09:03.470	09:02.580	08:53.020	09:04.490	09:03.895
09:04.380	09:02.590	08:53.640	09:04.610	09:04.385
09:04.910	09:02.800	08:54.100	09:04.670	09:04.790
09:04.960	09:03.130	08:54.530	09:05.130	09:05.045
09:05.010	09:03.340	08:54.590	09:05.130	09:05.070
09:05.630	09:04.160	08:54.750	09:05.130	09:05.380
09:05.800	09:05.270	08:54.880	09:05.190	09:05.535
09:06.040	09:05.700	08:54.940	09:05.930	09:05.985
09:06.180	09:06.120	08:54.940	09:05.970	09:06.150
09:06.410	09:06.520	08:55.300	09:06.390	09:06.465
09:06.700	09:06.800	08:55.350	09:06.460	09:06.750
09:07.090	09:06.890	08:55.680	09:07.200	09:07.145
09:07.590	09:07.770	08:55.820	09:07.410	09:07.680
09:08.050	09:08.140	08:55.980	09:07.930	09:08.095
09:08.120	09:08.250	08:56.100	09:09.650	09:08.950
09:08.290	09:08.480	08:56.200	09:10.000	09:09.240
09:09.350	09:08.490	08:56.220	09:10.330	09:09.840
09:09.810	09:08.540	08:56.240	09:10.480	09:10.145
09:10.030	09:08.870	08:56.250	09:11.150	09:10.475
09:10.440	09:11.020	08:56.390	09:11.470	09:11.245
09:10.570	09:11.230	08:56.410	09:11.550	09:11.390
09:11.090	09:11.290	08:56.470	09:11.610	09:11.450
09:11.380	09:11.900	08:56.670	09:11.700	09:11.800
09:11.410	09:12.020	08:56.770	09:11.860	09:11.940
09:11.600	09:12.090	08:57.010	09:11.990	09:12.040
09:12.160	09:12.390	08:57.020	09:12.150	09:12.275
09:12.180	09:13.070	08:57.070	09:13.200	09:13.135
09:12.480	09:13.280	08:57.190	09:13.400	09:13.340
09:12.730	09:13.290	08:57.390	09:13.680	09:13.485
09:12.730	09:13.320	08:57.420	09:13.740	09:13.530
09:13.090	09:14.070	08:57.660	09:14.140	09:14.105
09:13.360	09:14.460	08:57.750	09:14.230	09:14.345
09:13.590	09:14.660	08:57.970	09:14.400	09:14.530
09:13.860	09:14.760	08:58.000	09:14.750	09:14.755
09:14.000	09:14.770	08:58.100	09:15.500	09:15.135
09:14.170	09:14.910	08:58.210	09:16.630	09:15.770
09:14.460	09:15.160	08:58.340	09:17.040	09:16.045
09:14.510	09:15.270	08:58.380	09:17.210	09:16.145
09:14.820	09:15.360	08:58.830	09:17.340	09:16.280
